Serial NO,                  Game Name,                                Review,    Positive/Negative
53, Dhoom:3 The Game,if you need any help either way we should get together sometime and we can go over the house and we will see you we on for a few days but I will let you know know if I should be done with the house or anything like the y I will get it for the first time since I have a month and a half of my life with me kmi aa I have a few more days to go to the store to buy a new one but I'm not sure if I can make it it was a good day to come in and talk to you soon and have a good day at work,0
54,Traffic Tour,sorry to say but it is not a multiplayer game...you can find and fight with opponents even without internet connection once you connect game with internet(they still drives and control car like someone is driving it). This game is not providing what it claims so at least i cannot trust...uninstalling!,0
55,Traffic Tour,i rather experienced a fantastic game with excellent online features.The main problem is the unappropriate ads which keep on showing with some offensive content. if you could just solve this pop up ads problem as i myself is not mature enough to watch these kind of things. It will be your pleasure to resolve this problem so that icould fully enjoy this outstanding game with no interruptions.,0
56,Traffic Tour,"there's a mission where you have to go through a minefield of yellow tokens to find 5 green tokens... but because the tokens are transparent it's virtually impossible to do it, because the yellow & green tokens look the same until you're right up on them & by then it's too late. aside from that it's a solid game... but that 1 mission really spoils it for me.",1
57,Farming Simulator 14,"I love this game, I owned the game on Xbox One, before I sold the console, but that's besides the point, you've done really well with this game, almost identical to the console version, with the necessary changes to UI/HUD. The only thing I find irksome is knowing ones location when travelling, there's no way to tell which direction you are travelling, if I may make a suggestion to rectify this, top right hand corner, add a small compass which indicates the direction of travel.",1
58,Farming Simulator 14,"A fun and realistic farming game which teaches you how farming works. I like how you start with some basic machinery and paddocks to get you going and you upgrade and upscale as you make money from harvesting your crops. My only criticism is that after 91 hours of play I own the entire districts paddocks and meadows, several million dollars worth of machinery (where I can be working 6 paddocks at the same time) and 1.6 million dollars in the bank, so I have run out of goals to reach!",1
59,Farming Simulator 14,I really like this game. I had purchased the unlocks for the equipment and saved my progress after each purchase. The next day all the equipment was again locked. I emailed support three days ago and received no reply. I wish I could dispute the charges with google because I did not receive what was promised.,0
60,Sniper 3D Gun Shooter,"DO NOT DOWNLOAD THIS GAME!!!!!!!!!!!!!Maybe wait till the reviews change. Game was decent before the latest update. Way too many bugs now and not worth spending any time or money on this. Almost like the deveolpers gave up on it. Customer service is non-existant right now. I've been playing this game for almost a year now. I have been a part of a few squads and know that quite a few people have cancelled their Premium subscriptions and quit the game entirely, because of this update.",0
61,Sniper 3D Gun Shooter,"PLEASE FIX THE CONNECTION ISSUE I CAN'T CONNECT TO PVP . Awesome game but after the last update I can't play PvP anymore. Developers don't care. I've invested my time and money in this game and I can't play. No one from Google play or the developers seem to care. I'm seriously considering to drop android in general. No one on my squad with an iPhone has an issue, I would give them NO STARS if I had that option. DON'T WASTE YOUR MONEY ON THIS GAME",0
62,Sniper 3D Gun Shooter,"Nice game play. Take a long time to earn upgrades unless you are willing to pay but doable. Offers of rebates on upgrades are always just above your available game funds forcing you to purchase more funds if you want to take advantage of the deal. But you can have lots of fun without having to purchase funds, you just need patience to watch some ads to get the energy to continue and earn funds for upgrades. In summary, it's a good game",1
63,Hit & Knock down,"would be better if it didnt take back to the beginning when no clear, or else reward better. or something. i relize it needs to be competitive but, hmmmm. why are the balls so bang expensive? Not all peeps are able to afford, and gold will not be used to advance. I would give more stars but, needs some work. I like the game, but, can be discouraging at the same time",0
64,Hit & Knock down,When I first started playing it was great. No ads. Then ads before game starts. That was ok. Now ads pop up in the middle of playing. That sucks. Uninstalling. Too bad. Otherwise good game. 2-2-19 tried again ad's worse than ever! make a pay for version you damn sellouts! 3-15-19=worse. ads intrusive and obscenely nasty and disgusting. No help after contacting creator. UNINSTALLING jerks!!!,0
65,Hit & Knock down,"This game is not only fun, but it can also teach you where to throw the ball and aim it just right so you can use as few balls as possible. Now, if I could only throw a ball as well using five fingers.",1
66,Cover Fire: action shooting games,"This game is really awesome and also very addictive. Graphics is amazing. But the problem occur when I choose the option of ""high"" graphics. In the medium graphics, the game runs smoothly and also with very good graphics but upon increasing the quality of graphics, the smoothness no longer exists and the quality of graphics also decreases. But, the game is awesome.",1
67,Cover Fire: action shooting games,"Great game a lot of fun. It is just really something to pass time and have a little fun. The missions are not all just easy and it really challenges you to get the 3 stars to complete the mission. AND ITS FREE, SOUNDS LIKE ME. Go download the app.",1
68,Cover Fire: action shooting games,No Events in several months now. It would seem that greed has taken over with the developers as there are too many 'watch this video' to progress links now. Used to be a lot of fun. Now it's the same thing every day.,0
69, Darkness Rises,"The game crashes way too much, even after the new update. It mostly happens in the middle of co-ops games, and returning back from the village.  Server problems in the middle of pvps, even after using a 100mbps connection, I get kicked out and can't play pvp for a while.",0
70, Darkness Rises,"It's a very immersive game! It has tons of content that leaves you with a lot of things to do, you can also create multiple characters if ever you wanna try something new. And the is also generous to its players, they give rewards for almost every single thing you do. They also update often and launch different kinds of events.",1
71, Darkness Rises,"Great game, it can be a little repetitive but all rpgs are. It's really generous with gold, energy, and rare equipment. The game even rewards you for taking breaks instead of non-stop grinding. The only things that I think need work are the PvP matchmaking, I have had more times than not where I'm being paired with a opponent that can one shot me. The other thing is that it takes a while to get upgrade stones (but there are probably other ways than the daily dungeon). Other than that, great game.",1
72,Escape Titanic,"Terrible... almost ANYTHING you click on is ad related somehow- click on this clue or this part of the puzzle? Oh! Random ad... how about getting those free hints by watching ads? Doesn't happen. Watched about 5 ads in a row and never got a free hint. P.S. The doors are the major ad trap. So simple, but it won't let you until you've bought it or watched a million ads...",0
73,Escape Titanic,"Not a bad game but there are way too many ads. I don't mind ads since I know it's a free game but every step there are 30 seconds ads? And the fact that its says watch videos for free hint but after watching 3 times, didn't even get a hint, feels like being cheated into watching.",0
74,Escape Titanic,"good puzzle solving fun, graphics are fun and the game is easy to navigate. it promoted me to early to be able to give an accurate review but so far so good and maybe ask players to rate after a few hours of active game time. possibly could have been five stars if you allowed adequate challenges to be completed ..",1
75,Benji Bananas,It's really amazing!! Full of fun and excitements to reach the next world!! It has amazing graphics!! The mouth of Benji after eating chilly looks very funny!! In all it is one of the best games of android in my eyes,1
76,Benji Bananas,"The game sucks.....the bananas and the monkey have not been objectified properly, however, the obstacles are extended beyond their outlines. Honestly, the game sucks and I highly advise you to not install it.",0
77,Benji Bananas,"Nice game. Those who are crying because of controls must learn how to master them, those who say that everytime you lose, the game starts over... For them, most of the acrade games start over. You can pay game currency to unlock the levels. Great game.",1
78,Lep's World 2,this game is so amazing but I have a problem I think I finished it and at another world is writing cooming soon so I don't know what to do I played those bonus level and I'm not sure to uninstall it because I want to play more.,1
79,Lep's World 2,wish it was harder. game controlls worked of course. definitely try it and unintall it if you want to.I thought this was a pretty awesome game overall. it was also like i said a pretty decent game to play. i of course do think that it should at least get three hearts in my opinion. but like i said again overall it was a great game to download.,1
80,Lep's World 2,"I've played so many games before,but this game was just so breath taking.I could reach heaven with this game (if it was possible.)I have no more words to describe this game.I can't wait to go to my new imaginary kingdom and discover awesome words and new adventures.",1
81,Grand Gangsters 3D,"Thanks for all of the Crown Estate, 2 to the Crown Estate, but it would have to pay the 8th, I think it's a great deal. The list of the most popular programs and I have to do it for the next day or two. I think I have been added. I think the best way of life and times of course the UK and then I will have the opportunity for an interview fora to you. If 7 the same 6th of July you 6 to you, but 14th, bit. It is not the same time as I have to pay for it",1
82,Grand Gangsters 3D,video wont play for free gold or money and also the daily reward wont work for about months now!!! im uninstalling til its fixed. which wont get fixed cause suck ass deveopers!!!! fix these issues and i will rate 10 stars. now its negative 10 stars,0
83,Grand Gangsters 3D,"Its really amazing, I have GTA SA, VC and III in my PC and I liked to play all of these games. And now, I can enjoy the same fun in my phone too! Its almost perfect, only problem is the textures (like buildings, traffic cars, peds etc) are load too slowly, which looks little unrealistic. But other than that its perfect! I rated it 5 stars!! Keep improving good job! ",1
84,Hard Time (Prison Sim),"very good! Very minimalistic concept done to the T. It's a very engaging experience for the player, and the insanity it brings makes it truly a HARD TIME. The Wrestling Engine used on this game makes NPC's easily agitated and aggresive, causing the experience to take an interesting turn when you accidently kill someone and go insane and lose control of your character. Overall, a pleasant experience",1
85,Hard Time (Prison Sim),"I need help, the game won't work. Whenever I go into a new room, items freak out in the upper left corner if the game, and there's no people, me, or controls on the screen. I tried forcing the game to stop, I tried restarting my phone, and I tried uninstalling and reinstalling. I love this game, but I really can't play it.",0
86,Hard Time (Prison Sim),"I like the game, been playing it for a while, I just wish that once the inmate was given the option to become an officer ... we had the same options as the officer and not treated like a inmate still, like we should be able to arrest inmates",1
87,Gangstar Vegas - mafia game,"this new update is WEIRD, theres no background music, and missing some of its background effect sound, also some vehicles had no engine sound, and the color is so bright esp in daytime that make my eyes sore, i'm actively playing this game on my android 6.0, and my note8 also had this same problem, my connection is good but theres no easter bunny, no street cred, only the gang event.",0
88,Gangstar Vegas - mafia game,Pls Read This. This is a awesome game But i think its gonna be more cool/awesome if we can coztumize our car and buying a house n coztumize it and we can play on online like meeting other players and play some minigames such as racing and etc. i seriously think this a good idea and i serously hope this is gonna be the biggest update. can you pls replay if you this a great idea,1
89,Gangstar Vegas - mafia game,This game is good but when I steal a luxury car there are too much police and can't sell the car and most of the time I have to quite the game and sometimes the watch an add option doesn't works so please fix this,1
90,Choices: Stories You Play,"Update: In one book you have to pay for clothes that are in your own suitcase. PLEASE DO NOT SPEND ANY REAL MONEY ON THIS GARBAGE!!!You basically can't get anywhere without spending a LOT of actual money. Can't progress in skills or relationships. Can't get appropriate clothing to wear. Can't give your own twin sister a birthday gift. You can do NOTHING the ""tutorials"" urge you to do without it costing way more than an actual trip to the movies, a real book, or even an audio download of a book.",0
91,Choices: Stories You Play,"Fun game idea, but it's set up so that you have to spend a bunch of money in order to get anywhere in the stories. It takes far too long to earn keys and gems. You now get 2 gems for completing a chapter, but the game crashes 75% of the time when I'm trying to earn a gem by watching an ad. Update: Seriously, when is the issue with ads going to be fixed? It's probably lost me 40 gems at least. Seems awfully fishy at this point. Fix it or give us more gems! I hardly ever play anymore.",0
92,Choices: Stories You Play,"Don't get me wrong I enjoy the game. The ONE thing that is keeping my rating from 5 stars is the diamonds. I hate that I can't do choices I want to do because I don't have enough diamonds. I feel like the diamonds you get after a chapter increase. Also for the 3 hour thing, I think you should receive 3 - 5 diamonds. It sucks because I really enjoy the game but having to spend 2 dollars to only make 1 diamond choice. Especially when there can be 3 diamond choices in a chapter",0
93,Necropalace,"What an ugly game! The developer must be a psychopath. Oh Ha! Ha! Ha! A sarcastic reply. You know what, you are a funny man Chandler! A very funny man!! And a psychopath!!!",0
94,Necropalace,"A game with the full campaign available without pay. Wonderful. And a very nice story, cool game play, difficult but not too hard levels, .. Successful.",0
95,Cube Escape: Paradox,"Exellent! I am quite demanding when it comes to this kind of games and this certainly has everything I expect in a game! It's addictive and not too easy, yet not at all impossible if you put your brain working. Good gameplay too and quite an interesting story. So it's clear how much I love the game: usually, when it comes to phone games, I avoid spending money on any feature at all. But this game, it's so addictive and well made, I didn't even think twice about buying the second chapter.",1
96,Cube Escape: Paradox,"Certainly a head scratcher. I did have to use the walkthrough a few times for some of the puzzles, but it did keep me entertained. On a seperate note, with regards to another Rusty Lakes Game. Rusty Lakes Roots. I can't seem to leave a review for that game so I'll do it here. Quite enjoyable but a lot of the levels, particularly the last one, make no sense whatsoever! How people are supposed to work out some of these puzzles is beyond me.",1
97,Cube Escape: Paradox,"this is amazing. I watched the movie, then played the chapter, and bought chapter 2. I think I'm going to pay to play all of the other games by you guys that cost money after my paycheck. Chapter 2 of Paradox has convinced me i must play them ALL! I have to say as far as escape games, series games narratives, and mystery to a puzzle game goes, Cube Escape games are tied with the Submachine series as my all time favorite!",1
98,My Lovey : Choose your otome story,"regarding the recent update, you guys just made it harder to get coins rather than making it easier if not why would you adjust the gold in the mini game??? does not make sense first when I started playing in the hard level I used to receive 1500 after that adjusted the gold to 800 and now what 300??? this will just take forever I understand you guys would rather people purchasing these than getting them free but you're at least getting paid from the ads and videos that pop up in the mini game",0
99,My Lovey : Choose your otome story,"the sentences are broken, the back story makes no sense and the worst part is that the keys are used up so fast. 1 key is used for 1 ""chapter"" and I use that term lightly. the chapter is 2 sentences and they sometimes recap and then you only get 1 new line of story. and let's talk about the rubies. so basically if you the more romantic choices you have to pay rubies.... also know as real money. the story and characters aren't even worth any amount of money. this is a joke",0
100,My Lovey : Choose your otome story,"this was one of my favorite apps because I LOVED the Sharehouse story (specifically Haberu!!). I was also super super addicted to the fun MiniGame where you can win ""gold"" and would play it constantly and on my break at work. But the most recent update says the mini game is going away, and they are no longer giving keys at chapter completion. This sounds like a ploy to make it impossible to earn ""gold"" any other way than buying it. Which ruins the entire atmosphere I've gotten used to.",0
101,Lost Journey,"The way I prefer, this game is non-addictive which is very important these days. It has beautiful graphics, calming slow music, easy controls with challenging puzzling stages. Doesn't give you notifications or advertisements, it is a pleasant experience through and through. I recommend the game. Hardly lasts a week if you play half an hour to an hour on the weekdays.",1
102,Lost Journey,"Fun, Clever Puzzle Game w/ Chill Vibe. A platformer in which the hourglass button both flips the level vertically (upside down) and inverts the solid parts of the level. (Pressing button again reverses both of those effects). Strategically use this mechanic to get through the level. Simple controls, only 3 other buttons (left, right and jump). The artwork and music are lovely & soothing, so it feels peaceful to play, even as you're being challenged. Very enjoyable.",1
103,Lost Journey,"It's kinda fun, but can easily get boring most of the time. The huge negative is the character design. Why can't you develop your own characters? Why do you need so badly to copy other people's stuff? You will NEVER grow as a developer like this. Be original, do new stuff, be creative, don't try to copy famous games and studios.",0
104,Mini World: Block Art,"this is a great game with even way more items. in Minecraft there's just a few weapons and a load of blocks, mini world has even more weapons and more block's, and it's free, what annoys me is that you have to change to adventure mode to put on amor, a very good game, but i can't play with internet, because its always at only at 2 bars of internet",1
105,Mini World: Block Art,I love it. I hope the devs make more skin tones and character customization though. I don't want to be a little white dude and the only people of color are the enemy savages. other than that this game is awesome.,1
106,Mini World: Block Art,the game is very impressive! and the problem is the game had a little bit of laggy. please fix it at very smooth like minecraft. this game can beat minecraft i believe. And add some Mods like villages and peoples,1
107,Archery King,"original review is now deleted. UPDATE: After spending close to $100 dollars for upgrades and packages all seemed to go well... for about a week. I went from around 40million in gold to 3 million within a few days. Literally the easiest of targets don't register correctly, and the amount of bots and cheaters clean you out of your gold every time. This game used to be great and now it is a major disappointment. I see other reviews having the same issues. I'm tire of the bull, so I'm deleting..",0
108,Archery King,"Great game. awesome gameplay, realistic and fun. Has a huge variety of in game options, upgrades. Provides a few different game types, rush, standard, bingo, and a story type mode(available offline). Each with multiple difficulties. Rush and Standard mode have special events which provide a variety of different target types. overall very entertaining app. Must have!!!!",1
109,Archery King,the bots win all the time. better bow means nothing. when the time is up it still counts the others shot. when the opposite guy only has 3 arrows shot he has 50 points!!?? how does that work. if I'm beating someone by 20 how does he all the sudden beat me by 20 in the matter of 3 shots. this game is bull.,0
